Year,Operator,Location,AC Type,Passengers,Crew,Fatalities
1970,Spantax,Stockholm,Convair CV-990-30A-5,7,3,5
1970,Royal Hellenic Air Force,Villia Greece,Douglas C-47,22,5,23
1970,Polynesian Airlines,Faleolo,Douglas DC-3,29,3,32
1970,Faucett,Mt. Pumacona,Douglas DC-4,24,4,28
1970,Royal Nepal Airlines,Delhi,Fokker F-27 Friendship 200,18,5,1
1970,Charter - Federal Electricity Commission,Poza Rica,Convair CV-240-2,15,4,18
1970,Aeroflot,Batagai,Antonov AN-24,28,6,34
1970,TAG Airlines,Cleveland,De Havilland Dove,7,2,9
1970,Aeroflot,Murmansk,Tupolev TU-124,32,6,11
1970,Tarom,Apuseni mountains,Antonov AN-24V,18,4,21
1970,Aerolineas Argentinas,Corrientes,Hawker Siddeley HS-748 1,33,4,37
1970,Aeroflot,Samarkand,Ilyushin IL-18V,98,8,92
1970,Pilgrim Airlines,Long Island Sound,de Havilland Canada DHC-6 Twin Otter 100,3,2,5
1970,Lineas Aéreas La Urraca,Puerto Infrida,Douglas DC-3,8,4,12
1970,Compania Dominicana de Aviacion,Santo Domingo,McDonnell Douglas DC-9-32,97,5,102
1970,Air Congo,Congo,Douglas DC-3,14,3,17
1970,Swissair,Zurich,Convair CV-990-30A-6,38,9,47
1970,Bavaria Flug,St. Moritz,Handley Page Jetstream 1,9,2,11
1970,Paraense Transportes Aereos,Belem Bay,Fairchild-Hiller FH-227B,35,5,38
1970,U.S. Navy,Da Nang,Lockheed EC-121P,0,31,23
1970,Grand Canyon Airlines,Colorado City,Piper PA-32,5,1,6
1970,Royal Air Maroc,Casablanca,Aerospatiale Caravelle 3,76,6,61
1970,Aeroflot,Novosibirsk,Antonov AN-24V,40,5,45
1970,Aeroflot,Zaporozhye,Ilyushin IL-14P,30,5,7
1970,Philippine Air Lines,Manila,Hawker Siddeley HS-748-209,32,4,36
1970,Italian Air Force,Rivolto,Fairchild C-119G,12,7,17
1970,Trans Australia Airlines,Kainatu,de Havilland Canada DHC-6 Twin Otter 100,9,2,8
1970,Antillean Airlines,St. Croix,McDonnell Douglas DC-9-33CF,57,6,23
1970,U.S. Air Force,Hamilton AFB,Convair CV-240,0,14,13
1970,Somali Airlines,Mogadishu,Vickers 785D Viscount,26,4,5
1970,Philippine Air Lines,Iligan,Fokker F-27 Friendship 100,29,4,1
1970,Executive Jet Sales Inc.,Pellston,Gates Learjet 23,4,2,6
1970,Aeroflot,Kishiniev,Antonov AN-10,0,11,11
1970,Aeroservicios,Tegucigalpa,de Havilland DH-114 Heron 1B,4,2,6
1970,Lehigh Acres Development Inc.,Chamblee,Martin 404,29,4,1
1970,Ceskoslovenske Aerolinie,Tripoli,Tupolev TU-104A,10,3,13
1970,Philippine Air Lines,Roxas,Fokker F-27 Friendship 100,40,4,1
1970,LADE,Huaricanga,Fokker F-27 Friendship 400M,5,3,5
1970,Dan Air Services,Arbucias,de Havilland Comet 4,105,7,112
1970,Reeder Flying Service,McGrath,Douglas DC-3,25,2,5
1970,Air Canada,Toronto,McDonnell Douglas DC-8-63,100,9,109
1970,Soviet Air Force,North Atlantic Ocean,Antonov AN-22,15,8,23
1970,Flying Tiger Line,Tokyo,McDonnell Douglas DC-8-63AF,0,4,4
1970,United States Navy,Las Vegas,Lockheed P-3A Orion,0,10,10
1970,Pakistan International Airlines,Islamabad,Fokker F-27 Friendship 200,26,4,30
1970,Lineas Aereas Nacionales SA,Cuzco,Lockheed 188A Electra,91,9,99
1970,China Airlines,Taipei,NAMC YS-11A-219,26,5,14
1970,U.S. Army,Tam Ky,Boeing Vertol CH47B,0,30,30
1970,Indian Airlines,Silchar,Fokker F-27 Friendship 400,34,5,39
1970,Dutch Continental Airways,Haringvreter,Britten-Norman BN-2A Islander,9,1,3
1970,Aeroflot,Dnepropetrovsk,Tupolev TU-124,0,37,37
1970,Aeroflot,Lihovka,Tupolev Tu-124,32,5,37
1970,Aeroflot,Leningrad,Yakovlev YAK-40,18,3,21
1970,Trans International Airlines,New York,McDonnell Douglas DC-8-63CF,0,11,11
1970,Icelandair,Vagar,Fokker F-27 Friendship 300,30,4,8
1970,Air Vietnam,Da Nang,Douglas DC-3-DST,34,4,4
1970,U.S. Air Force,Taipei,Lockheed C-130E,37,6,43
1970,Charter,Mt. Trelease,Martin 404,37,3,32
1970,Private,Mahaffey,Aero Commander 500-B,1,1,2
1970,National Airways,Germiston,Douglas DC-3,9,2,3
1970,Saturn Airways,Fort Dix,Lockheed L-100-20 Hercules,0,3,3
1970,Aerocosta Colombia,Pointe-à-Pitre,Curtiss C-46D,1,3,2
1970,Southern Airways,Huntington,McDonnell Douglas DC-9-31,71,4,75
1970,U.S. Air Force,Nha Trang,Fairchild C-123K,73,6,79
1970,Capitol Airlines,Anchorage,McDonnell Douglas DC-8-63CF,219,10,47
1970,U.S. Air Force,Cam Ranh,Fairchild C-123K,39,5,42
1970,Cargolux,Dhaka,Canadair CL-44J,4,4,8
1970,Jamair,Delhi,Douglas DC-3,12,4,5
1970,Tarom,Constanta,BAC One-Eleven 424EU,20,7,19
1970,Trans Caribbean Airways,St. Thomas,Boeing B-727-2A7,48,7,2
1970,Aeroflot,Leningrad,Ilyushin IL-18B,90,3,93
1970,Pakistan International Airlines,Shemshernagar,Fokker F-27 Friendship 200,31,4,7
1970,Rousseau Aviation,Algiers,Nord 262E,28,3,31
1971,United Arab Airlines,Ben Gashir,de Havilland Comet 4C,8,8,16
1971,American Airlines,Edison,Boeing B-707-323,14,7,2
1971,Balkan Bulgarian Airlines,Zurich,Ilyushin IL-18,39,8,45
1971,Fuerza Aérea del Peru,Pacae,Curtiss-Wright C-46,30,5,35
